,Day,Condition,Indicator
0,1,mostly cloudy,0
1,2,mostly cloudy,0
2,3,mostly cloudy,0
3,4,mostly cloudy,0
4,5,mostly cloudy,0
5,6,mostly cloudy,0
6,7,mostly sunny,1
7,8,mostly sunny,1
8,9,mostly cloudy,0
9,10,mostly sunny,1
10,11,mostly sunny,1
11,12,mostly cloudy,0
12,13,mostly sunny,1
13,14,mostly cloudy,0
14,15,mostly cloudy,0
15,16,cloudy,0
16,17,partly cloudy,0
17,18,mostly sunny,1
18,19,mostly sunny,1
19,20,mostly sunny,1
20,21,mostly sunny,1
21,22,partly cloudy,0
22,23,mostly cloudy,0
23,24,mostly sunny,1
24,25,mostly sunny,1
25,26,mostly sunny,1
26,27,mostly sunny,1
27,28,mostly sunny,1
28,29,cloudy,0
29,30,partly cloudy,0
