,Day,Condition,Indicator
0,1,mostly cloudy,0
1,2,mostly sunny,1
2,3,mostly sunny,1
3,4,mostly sunny,1
4,5,cloudy,0
5,6,cloudy,0
6,7,partly cloudy,0
7,8,mostly sunny,1
8,9,cloudy,0
9,10,cloudy,0
10,11,mostly sunny,1
11,12,mostly cloudy,0
12,13,mostly cloudy,0
13,14,cloudy,0
14,15,cloudy,0
15,16,partly cloudy,0
16,17,cloudy,0
17,18,mostly cloudy,0
18,19,partly cloudy,0
19,20,cloudy,0
20,21,partly cloudy,0
21,22,mostly sunny,1
22,23,mostly sunny,1
23,24,mostly sunny,1
24,25,mostly sunny,1
25,26,mostly sunny,1
26,27,mostly cloudy,0
27,28,cloudy,0
28,29,cloudy,0
29,30,cloudy,0
30,31,mostly cloudy,0
