,Day,Condition,Indicator
0,1,mostly cloudy,0
1,2,mostly cloudy,0
2,3,cloudy,0
3,4,mostly cloudy,0
4,5,mostly cloudy,0
5,6,cloudy,0
6,7,cloudy,0
7,8,cloudy,0
8,9,mostly cloudy,0
9,10,mostly sunny,1
10,11,mostly sunny,1
11,12,mostly cloudy,0
12,13,mostly sunny,1
13,14,mostly cloudy,0
14,15,mostly sunny,1
15,16,mostly sunny,1
16,17,mostly sunny,1
17,18,mostly sunny,1
18,19,mostly sunny,1
19,20,mostly sunny,1
20,21,mostly cloudy,0
21,22,cloudy,0
22,23,cloudy,0
23,24,cloudy,0
24,25,mostly cloudy,0
25,26,cloudy,0
26,27,cloudy,0
27,28,mostly cloudy,0
28,29,mostly sunny,1
29,30,cloudy,0
30,31,cloudy,0
