,Day,Condition,Indicator
0,1,mostly sunny,1
1,2,cloudy,0
2,3,cloudy,0
3,4,mostly cloudy,0
4,5,mostly cloudy,0
5,6,mostly sunny,1
6,7,mostly sunny,1
7,8,mostly sunny,1
8,9,cloudy,0
9,10,mostly cloudy,0
10,11,mostly sunny,1
11,12,mostly sunny,1
12,13,cloudy,0
13,14,cloudy,0
14,15,cloudy,0
15,16,mostly cloudy,0
16,17,mostly cloudy,0
17,18,mostly cloudy,0
18,19,partly cloudy,0
19,20,mostly sunny,1
20,21,scattered showers,1
21,22,scattered showers,1
22,23,mostly sunny,1
23,24,mostly cloudy,0
24,25,mostly cloudy,0
25,26,cloudy,0
26,27,cloudy,0
27,28,mostly sunny,1
