,Day,Condition,Indicator
0,1,mostly cloudy,0
1,2,cloudy,0
2,3,mostly cloudy,0
3,4,mostly cloudy,0
4,5,mostly sunny,1
5,6,mostly cloudy,0
6,7,cloudy,0
7,8,mostly cloudy,0
8,9,cloudy,0
9,10,mostly sunny,1
10,11,cloudy,0
11,12,scattered showers,1
12,13,partly cloudy,0
13,14,mostly sunny,1
14,15,cloudy,0
15,16,mostly sunny,1
16,17,mostly sunny,1
17,18,mostly sunny,1
18,19,mostly cloudy,0
19,20,cloudy,0
20,21,mostly cloudy,0
21,22,mostly sunny,1
22,23,mostly cloudy,0
23,24,mostly cloudy,0
24,25,mostly sunny,1
25,26,cloudy,0
26,27,cloudy,0
27,28,mostly sunny,1
28,29,mostly sunny,1
29,30,mostly sunny,1
30,31,mostly sunny,1
