,Day,Condition,Indicator
0,1,mostly sunny,1
1,2,mostly sunny,1
2,3,mostly sunny,1
3,4,mostly sunny,1
4,5,mostly sunny,1
5,6,mostly sunny,1
6,7,mostly sunny,1
7,8,mostly sunny,1
8,9,mostly sunny,1
9,10,mostly sunny,1
10,11,mostly sunny,1
11,12,mostly sunny,1
12,13,mostly sunny,1
13,14,mostly sunny,1
14,15,mostly sunny,1
15,16,mostly cloudy,0
16,17,mostly sunny,1
17,18,mostly sunny,1
18,19,mostly sunny,1
19,20,mostly sunny,1
20,21,mostly sunny,1
21,22,mostly sunny,1
22,23,mostly sunny,1
23,24,mostly sunny,1
24,25,mostly sunny,1
25,26,mostly sunny,1
26,27,mostly cloudy,0
27,28,mostly sunny,1
28,29,mostly sunny,1
29,30,partly cloudy,0
30,31,mostly sunny,1
